2024-02-11 15:48:47.054 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:48:57.409 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:49:07.769 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:49:18.129 | INFO     | __main__:<module>:17 - Temp=23.6*C Humidity=28.2%
2024-02-11 15:49:28.489 | INFO     | __main__:<module>:17 - Temp=23.6*C Humidity=28.2%
2024-02-11 15:49:38.849 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:49:49.209 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:49:59.569 | INFO     | __main__:<module>:17 - Temp=23.6*C Humidity=28.2%
2024-02-11 15:50:09.929 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:50:20.289 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:50:30.649 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:50:41.009 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:50:51.369 | ERROR    | __main__:<module>:24 - 센서 읽기 오류: Checksum did not validate. Try again.
2024-02-11 15:51:01.729 | INFO     | __main__:<module>:17 - Temp=23.6*C Humidity=28.1%
2024-02-11 15:51:12.089 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.1%
2024-02-11 15:51:22.449 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.1%
2024-02-11 15:51:32.809 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:51:43.169 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:51:53.529 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.1%
2024-02-11 15:52:03.889 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:52:14.249 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:52:24.609 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:52:34.969 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:52:45.329 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:52:55.689 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.1%
2024-02-11 15:53:06.049 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:53:16.409 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:53:26.769 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:53:37.129 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.1%
2024-02-11 15:53:47.489 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:53:57.849 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:54:08.209 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:54:18.569 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:54:28.929 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:54:39.289 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:54:49.649 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:55:00.009 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:55:10.369 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:55:20.729 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:55:31.089 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:55:41.449 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.3%
2024-02-11 15:55:51.809 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:56:02.169 | ERROR    | __main__:<module>:24 - 센서 읽기 오류: Checksum did not validate. Try again.
2024-02-11 15:56:12.529 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.3%
2024-02-11 15:56:22.889 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:56:33.249 | ERROR    | __main__:<module>:24 - 센서 읽기 오류: Checksum did not validate. Try again.
2024-02-11 15:56:43.609 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.3%
2024-02-11 15:56:53.969 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:57:04.329 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:57:14.689 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.2%
2024-02-11 15:57:25.049 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.3%
2024-02-11 15:57:35.409 | ERROR    | __main__:<module>:24 - 센서 읽기 오류: Checksum did not validate. Try again.
2024-02-11 15:57:45.769 | ERROR    | __main__:<module>:24 - 센서 읽기 오류: Checksum did not validate. Try again.
2024-02-11 15:57:56.129 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.4%
2024-02-11 15:58:06.489 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.4%
2024-02-11 15:58:16.849 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.4%
2024-02-11 15:58:27.209 | ERROR    | __main__:<module>:24 - 센서 읽기 오류: Checksum did not validate. Try again.
2024-02-11 15:58:37.569 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.4%
2024-02-11 15:58:47.929 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.4%
2024-02-11 15:58:58.289 | INFO     | __main__:<module>:17 - Temp=23.5*C Humidity=28.4%
2024-02-12 10:04:30.629 | INFO     | __main__:<module>:17 - Temp=24.8*C Humidity=35.8%
2024-02-12 10:04:40.989 | INFO     | __main__:<module>:17 - Temp=24.8*C Humidity=36.1%
2024-02-12 10:04:51.349 | INFO     | __main__:<module>:17 - Temp=24.8*C Humidity=36.0%
2024-02-12 10:05:01.709 | INFO     | __main__:<module>:17 - Temp=24.8*C Humidity=35.9%
2024-02-12 10:05:12.069 | INFO     | __main__:<module>:17 - Temp=24.8*C Humidity=35.8%
2024-02-12 10:05:22.429 | INFO     | __main__:<module>:17 - Temp=24.8*C Humidity=35.5%
2024-02-12 10:05:32.789 | INFO     | __main__:<module>:17 - Temp=24.8*C Humidity=35.7%
2024-02-12 10:05:43.149 | WARNING  | __main__:<module>:24 - failed to read sensor: A full buffer was not returned. Try again.
2024-02-12 10:05:53.509 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:06:03.869 | INFO     | __main__:<module>:17 - Temp=24.8*C Humidity=35.9%
2024-02-12 10:06:14.229 | INFO     | __main__:<module>:17 - Temp=24.8*C Humidity=36.8%
2024-02-12 10:06:24.589 | INFO     | __main__:<module>:17 - Temp=24.8*C Humidity=37.1%
2024-02-12 10:06:34.949 | INFO     | __main__:<module>:17 - Temp=24.8*C Humidity=37.3%
2024-02-12 10:06:45.309 | INFO     | __main__:<module>:17 - Temp=24.8*C Humidity=37.3%
2024-02-12 10:06:55.669 | INFO     | __main__:<module>:17 - Temp=24.9*C Humidity=37.4%
2024-02-12 10:07:06.029 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:07:16.389 | INFO     | __main__:<module>:17 - Temp=24.9*C Humidity=37.5%
2024-02-12 10:07:26.749 | INFO     | __main__:<module>:17 - Temp=24.9*C Humidity=37.4%
2024-02-12 10:07:37.109 | INFO     | __main__:<module>:17 - Temp=24.9*C Humidity=37.0%
2024-02-12 10:07:47.469 | INFO     | __main__:<module>:17 - Temp=24.9*C Humidity=36.9%
2024-02-12 10:07:57.829 | INFO     | __main__:<module>:17 - Temp=24.9*C Humidity=36.8%
2024-02-12 10:08:08.189 | INFO     | __main__:<module>:17 - Temp=24.9*C Humidity=36.8%
2024-02-12 10:08:18.549 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:08:28.909 | INFO     | __main__:<module>:17 - Temp=25.0*C Humidity=36.7%
2024-02-12 10:08:39.269 | INFO     | __main__:<module>:17 - Temp=25.0*C Humidity=36.8%
2024-02-12 10:08:49.629 | INFO     | __main__:<module>:17 - Temp=25.0*C Humidity=36.7%
2024-02-12 10:08:59.989 | INFO     | __main__:<module>:17 - Temp=25.0*C Humidity=35.8%
2024-02-12 10:09:10.349 | INFO     | __main__:<module>:17 - Temp=25.0*C Humidity=36.3%
2024-02-12 10:09:20.709 | INFO     | __main__:<module>:17 - Temp=25.0*C Humidity=36.9%
2024-02-12 10:09:31.069 | INFO     | __main__:<module>:17 - Temp=25.0*C Humidity=37.1%
2024-02-12 10:09:41.429 | INFO     | __main__:<module>:17 - Temp=25.0*C Humidity=37.1%
2024-02-12 10:09:51.789 | INFO     | __main__:<module>:17 - Temp=25.0*C Humidity=37.2%
2024-02-12 10:10:02.149 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:10:12.509 | INFO     | __main__:<module>:17 - Temp=25.0*C Humidity=37.5%
2024-02-12 10:10:22.869 | INFO     | __main__:<module>:17 - Temp=25.1*C Humidity=37.5%
2024-02-12 10:10:33.229 | INFO     | __main__:<module>:17 - Temp=25.1*C Humidity=37.4%
